       1,   8,       128,     0.010
       2,   8,       256,     0.037
       4,   8,       512,     0.035
       8,   8,      1024,     0.138
      16,   8,      2048,     0.244
      32,   8,      4096,     0.488
      64,   8,      8192,     0.775
     128,   8,     16384,     1.224
     256,   8,     32768,     0.737
       1,  16,        64,     0.010
       2,  16,       128,     0.029
       4,  16,       256,     0.047
       8,  16,       512,     0.157
      16,  16,      1024,     0.193
      32,  16,      2048,     0.428
      64,  16,      4096,     0.831
     128,  16,      8192,     1.751
     256,  16,     16384,     1.001
       1,  32,        32,     0.014
       2,  32,        64,     0.028
       4,  32,       128,     0.048
       8,  32,       256,     0.161
      16,  32,       512,     0.184
      32,  32,      1024,     0.482
      64,  32,      2048,     0.993
     128,  32,      4096,     1.785
     256,  32,      8192,     1.204
       1,  64,        16,     0.007
       2,  64,        32,     0.021
       4,  64,        64,     0.043
       8,  64,       128,     0.108
      16,  64,       256,     0.237
      32,  64,       512,     0.403
      64,  64,      1024,     1.017
     128,  64,      2048,     2.496
     256,  64,      4096,     0.813
       1, 128,         8,     0.016
       2, 128,        16,     0.026
       4, 128,        32,     0.067
       8, 128,        64,     0.122
      16, 128,       128,     0.219
      32, 128,       256,     0.384
      64, 128,       512,     1.319
     128, 128,      1024,     1.746
     256, 128,      2048,     0.982
       1, 256,         4,     0.009
       2, 256,         8,     0.043
       4, 256,        16,     0.076
       8, 256,        32,     0.137
      16, 256,        64,     0.300
      32, 256,       128,     0.634
      64, 256,       256,     1.135
     128, 256,       512,     1.375
     256, 256,      1024,     1.350
       1, 512,         2,     0.012
       2, 512,         4,     0.025
       4, 512,         8,     0.070
       8, 512,        16,     0.087
      16, 512,        32,     0.286
      32, 512,        64,     0.472
      64, 512,       128,     1.244
     128, 512,       256,     1.749
     256, 512,       512,     1.201
